[Header]	
System	TOC-L with TNM	
S/W Version	1.00	
User		
Date/Time	4/3/2024 3:41:34 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/Sparge Kit/High Suspension Kit (High Conc.)	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Unknown	NPOC/TN	Blank2	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met	C:\TOC-L\CalCurves\20240703_0-50ppmC-CO.2024_03_07_15_36_48.cal	1.00		3/11/2024 6:32:51 PM	1	1	NPOC	1.277	0.1018	NPOC:0.09589mg/L TN:0.000mg/L	0	150	
Unknown	NPOC/TN	Blank2	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met	C:\TOC-L\CalCurves\20240703_0-50ppmC-CO.2024_03_07_15_36_48.cal	1.00		3/11/2024 6:36:26 PM	1	2	NPOC	1.185	0.09448	NPOC:0.09589mg/L TN:0.000mg/L	0	150	
Unknown	NPOC/TN	Blank2	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met	C:\TOC-L\CalCurves\20240703_0-50ppmC-CO.2024_03_07_15_36_48.cal	1.00		3/11/2024 6:40:01 PM	1	3	NPOC	1.146	0.09137	NPOC:0.09589mg/L TN:0.000mg/L	0	150	
Unknown	NPOC/TN	Blank2	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met		1.00		3/11/2024 6:32:51 PM	1	1	TN	0.000	0.000	NPOC:0.09589mg/L TN:0.000mg/L	0	150	
Unknown	NPOC/TN	Blank2	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met		1.00		3/11/2024 6:36:26 PM	1	2	TN	0.05520	0.000	NPOC:0.09589mg/L TN:0.000mg/L	0	150	
Unknown	NPOC/TN	Blank2	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met		1.00		3/11/2024 6:40:01 PM	1	3	TN	0.000	0.000	NPOC:0.09589mg/L TN:0.000mg/L	0	150	
Unknown	NPOC/TN	OW1.1.A	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met	C:\TOC-L\CalCurves\20240703_0-50ppmC-CO.2024_03_07_15_36_48.cal	1.00		3/11/2024 6:47:25 PM	1	1	NPOC	22.14	1.765	NPOC:2.602mg/L TN:0.000mg/L	1	150	
Unknown	NPOC/TN	OW1.1.A	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met	C:\TOC-L\CalCurves\20240703_0-50ppmC-CO.2024_03_07_15_36_48.cal	1.00		3/11/2024 6:52:40 PM	1	2	NPOC	31.67	2.525	NPOC:2.602mg/L TN:0.000mg/L	0	150	
Unknown	NPOC/TN	OW1.1.A	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met	C:\TOC-L\CalCurves\20240703_0-50ppmC-CO.2024_03_07_15_36_48.cal	1.00		3/11/2024 6:56:57 PM	1	3	NPOC	33.35	2.659	NPOC:2.602mg/L TN:0.000mg/L	0	150	
Unknown	NPOC/TN	OW1.1.A	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met	C:\TOC-L\CalCurves\20240703_0-50ppmC-CO.2024_03_07_15_36_48.cal	1.00		3/11/2024 7:01:00 PM	1	4	NPOC	32.88	2.622	NPOC:2.602mg/L TN:0.000mg/L	0	150	
Unknown	NPOC/TN	OW1.1.A	Untitled	C:\TOC-L\Methods\NPOC_TN_40mL_Method_Sept2022_MKB.met	C:\TOC-L\CalCurves\20240703_0-50ppmC-CO.2024_03_07_15_36_48.cal	1.00		3/11/2024 7:05:17 PM	1	5	NPOC	39.11	3.118	NPOC:2.602mg/L TN:0.000mg/L	1	150	
